war_id,war_name,war_type,war_type_code,start_date,end_date,belligerents_side1,belligerents_side2,initiator,outcome,total_deaths,where_fought,source_file
ES300,Allied Bombardment of Algiers,Extra-State War (国家对外战争),3,1816-08-26,1816-08-30,Netherlands; United Kingdom,-8; Algeria,United Kingdom,胜利 (Victory),142,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES301,Ottoman-Wahhabi,Extra-State War (国家对外战争),3,1816-09-01,1818-09-11,Ottoman Empire,Saudi Wahhabis,Ottoman Empire,胜利 (Victory),13500,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES302,Liberation of Chile,Extra-State War (国家对外战争),2,1817-01-09,1818-04-05,Spain,San Martin revolutionaries,,失败 (Defeat),1700,北美 (North America),Extra-StateWarData_v4.0.csv
ES303,First Bolivar Expedition,Extra-State War (国家对外战争),2,1817-04-11,1819-08-10,Spain,New Granada,Spain,失败 (Defeat),3000,北美 (North America),Extra-StateWarData_v4.0.csv
ES304,Mexican Independence,Extra-State War (国家对外战争),2,1817-08-15,1818-01-01,Spain,Mina Expedition,,胜利 (Victory),1000,北美 (North America),Extra-StateWarData_v4.0.csv
ES305,British-Kandyan,Extra-State War (国家对外战争),2,1817-10-01,1818-11-26,United Kingdom,Kandyan rebels,,胜利 (Victory),1000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES306,British-Maratha,Extra-State War (国家对外战争),2,1817-11-06,1818-06-03,United Kingdom,Marathas,,胜利 (Victory),2800,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1500,First Maori Tribal War,Non-State War (非国家战争),8,1818-01-01,1824-01-01,Te Rauparaha's Ngati Toa; -8,Taranaki; Ngai Tahu; Waikato;  Ngati Ira; Rangitikei,Te Rauparaha's Ngati Toa,胜利 (Victory),7500,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
IN500,First Caucasus,Intra-State War (国内战争-地方政府),5,1818-06-10,1822-01-01,Russia,"Georgians, Dhagestania, Chechens",,胜利 (Victory),11000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
NS1501,Shaka Zulu-Bantu War,Non-State War (非国家战争),8,1819-01-01,1828-09-24,Shaka Zulu; -8,Bantu; -8; -8; -8; -8,Shaka Zulu,胜利 (Victory),60000,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1502,Burma-Assam War,Non-State War (非国家战争),8,1819-01-01,1822-01-01,Burma; -8,Assam; -8; -8; -8; -8,Burma,胜利 (Victory),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES307,Ottoman Conquest of Sudan,Extra-State War (国家对外战争),3,1820-01-01,1821-06-01,Ottoman Empire,Sudan states,Ottoman Empire,胜利 (Victory),4000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1503,Buenos Aires War,Non-State War (非国家战争),8,1820-01-08,1820-02-23,Buenos Aires; -8,Provinces; -8; -8; -8; -8,Provinces,失败 (Defeat),0,北美 (North America),Non-StateWarData_v4.0.csv
IN501,Sidon-Damascus,Intra-State War (国内战争-非政府),6,1820-06-01,1821-07-21,Sidon,Damascus & Aleppo,,失败 (Defeat),-18,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IN502,First Two Sicilies,Intra-State War (国内战争-中央政府),4,1821-03-01,1821-03-23,Austria; Two Sicilies,-8; Liberals,,胜利 (Victory),-35,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN505,Sardinian Revolt,Intra-State War (国内战争-中央政府),4,1821-03-10,1821-05-08,Austria; Sardinia,-8; Carbonari,,胜利 (Victory),-35,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN506,Greek Independence,Intra-State War (国内战争-地方政府),5,1821-03-25,1828-04-25,Ottoman Empire; -8; -8; -8,Greeks; United Kingdom; France; Russia,,转型 (Transformed),9156,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES308,Second Bolivar Expedition,Extra-State War (国家对外战争),2,1821-04-28,1822-05-24,Spain,New Granada,,失败 (Defeat),1000,北美 (North America),Extra-StateWarData_v4.0.csv
ES309,Turco-Persian,Extra-State War (国家对外战争),3,1821-08-01,1822-05-01,Ottoman Empire,Persia,,僵局 (Stalemate),1000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
NS1505,Second Maori Tribal War,Non-State War (非国家战争),8,1821-09-01,1823-01-01,Hongi Hika's Nga Phuhi; -8,Ngati Paoa;  Ngati Maru;  Waikato River Maori;  Te Arawa; -8,Hongi Hika's Nga Phuhi,胜利 (Victory),2500,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
