war_id,war_name,war_type,war_type_code,start_date,end_date,belligerents_side1,belligerents_side2,initiator,outcome,side_a_deaths,side_b_deaths,total_deaths,where_fought,source_file
NS1500,First Maori Tribal War,Non-State War (非国家战争),8,1818-01-01,1824-01-01,Te Rauparaha's Ngati Toa; -8,Taranaki; Ngai Tahu; Waikato;  Ngati Ira; Rangitikei,Te Rauparaha's Ngati Toa,胜利 (Victory),1500,6000,7500,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
NS1501,Shaka Zulu-Bantu War,Non-State War (非国家战争),8,1819-01-01,1828-09-24,Shaka Zulu; -8,Bantu; -8; -8; -8; -8,Shaka Zulu,胜利 (Victory),20000,40000,60000,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1502,Burma-Assam War,Non-State War (非国家战争),8,1819-01-01,1822-01-01,Burma; -8,Assam; -8; -8; -8; -8,Burma,胜利 (Victory),0,0,0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1503,Buenos Aires War,Non-State War (非国家战争),8,1820-01-08,1820-02-23,Buenos Aires; -8,Provinces; -8; -8; -8; -8,Provinces,失败 (Defeat),0,0,0,北美 (North America),Non-StateWarData_v4.0.csv
NS1505,Second Maori Tribal War,Non-State War (非国家战争),8,1821-09-01,1823-01-01,Hongi Hika's Nga Phuhi; -8,Ngati Paoa;  Ngati Maru;  Waikato River Maori;  Te Arawa; -8,Hongi Hika's Nga Phuhi,胜利 (Victory),500,2000,2500,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
NS1506,Siam-Kedah War,Non-State War (非国家战争),8,1821-11-01,1821-12-01,Thailand; -8,Kedah; -8; -8; -8; -8,Thailand,胜利 (Victory),0,0,0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1508,China-Kashgaria War,Non-State War (非国家战争),8,1825-01-01,1828-01-01,China; -8,Muslim rebels; -8; -8; -8; -8,China,胜利 (Victory),0,0,0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1509,Mexico-Yaqui Indian War,Non-State War (非国家战争),8,1825-10-25,1827-04-13,Mexico; -8,Yaqui Indians; -8; -8; -8; -8,Mexico,妥协 (Compromise),0,0,0,北美 (North America),Non-StateWarData_v4.0.csv
NS1510,Central American Confederation War,Non-State War (非国家战争),8,1826-01-01,1829-04-12,Conservative Confederation; -8,Liberals; -8; -8; -8; -8,Liberals,失败 (Defeat),2000,1300,3300,北美 (North America),Non-StateWarData_v4.0.csv
NS1511,Viang Chan- Siamese War,Non-State War (非国家战争),8,1826-01-01,1827-05-15,Viang Chan; -8,Siam; -8; -8; -8; -8,Viang Chan,失败 (Defeat),24000,7000,31000,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1512,Peru-Gran Colombia War,Non-State War (非国家战争),8,1828-07-03,1829-02-28,Peru; -8,Gran Colombia; -8; -8; -8; -8,Peru,失败 (Defeat),3000,1000,4000,北美 (North America),Non-StateWarData_v4.0.csv
NS1513,Argentine War for Unity,Non-State War (非国家战争),8,1829-04-26,1831-11-30,Unitarians; -8,Provinces; -8; -8; -8; -8,Unitarians,失败 (Defeat),0,0,0,北美 (North America),Non-StateWarData_v4.0.csv
NS1514,Sayyid Said War,Non-State War (非国家战争),8,1829-12-18,1830-05-09,Sayyid Said; -8,Mombasa; -8; -8; -8; -8,Sayyid Said,胜利 (Victory),0,0,0,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1515,China-Kokand War,Non-State War (非国家战争),8,1830-09-01,1831-11-01,China; -8,Kokand; -8; -8; -8; -8,China,胜利 (Victory),0,0,0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1516,Siam-Cambodia-Vietnam War,Non-State War (非国家战争),8,1831-01-01,1834-01-01,Thailand; -8,Cambodia; Vietnam; -8; -8; -8,Thailand,失败 (Defeat),0,0,0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1518,Argentina-Ranqueles Indian War,Non-State War (非国家战争),8,1833-03-16,1834-03-25,Argentina; -8,Ranqueles Indians; -8; -8; -8; -8,Argentina,胜利 (Victory),0,6000,6000,北美 (North America),Non-StateWarData_v4.0.csv
NS1520,Bolivia Conquest of Peru,Non-State War (非国家战争),8,1835-06-16,1836-02-07,Bolivia; -8,Peru; -8; -8; -8; -8,Bolivia,胜利 (Victory),0,0,0,北美 (North America),Non-StateWarData_v4.0.csv
NS1521,Boer-Matabele War,Non-State War (非国家战争),8,1836-08-15,1837-11-12,Boer Trekkers; -8,Matabele; -8; -8; -8; -8,Matabele,胜利 (Victory),350,3000,3350,拉美 (Latin America),Non-StateWarData_v4.0.csv
